id,resolution,xdim,ydim,zdim,incoming,,,
1,0.2,47,23,40,94574,,,
2,0.2,62,26,57,112881,,, 
3,0.2,69,39,60,119307,,,
4,0.3,78,54,82,11989,,,
5,0.3,79,55,91,24025,,,
6,0.3,85,62,98,122306,,,
7,0.3,93,67,117,47928,,,
8,0.3,108,75,132,48418,,,
9,0.4,122,78,132,11427,,,
10,0.4,129,84,150,14079,,,
11,0.4,141,96,152,24241,,,
12,0.4,158,116,156,153,,,
13,0.4,159,117,159,22512,,,
14,0.4,191,129,159,5930,,,
15,0.4,192,129,162,7660,,,
16,0.4,193,169,168,107697,,,
17,0.4,210,180,172,116339,,,
18,0.4,224,192,173,50286,,,
19,0.4,226,199,184,12780,,,
20,0.5,230,200,192,83309,,,
21,0.5,243,204,206,8934,,,
22,0.5,249,214,215,39063,,,
23,0.5,255,227,227,41181,,,
24,0.5,261,239,227,37639,,,
25,0.6,266,256,236,40453,,,
26,0.6,269,263,247,37282,,,
27,0.6,271,275,272,47977,,,
28,0.6,272,295,258,231825,,,
29,0.7,279,296,221,73066,,,
30,0.7,293,301,328,68541,,,
31,0.7,298,312,332,68727,,,
32,0.7,330,334,342,87999,,,
33,0.8,341,340,377,57944,,,
34,0.8,346,383,388,47797,,,
35,0.8,398,394,392,16604,,,
