id,resolution,xdim,ydim,zdim,incoming,coef,,
1,0.2,47,23,40,4313,0.8,,
2,0.2,62,26,57,40522,0.8,, 
3,0.2,69,39,60,1916,0.8,,
4,0.3,78,54,82,91557,0.7,,
5,0.3,79,55,91,57431,0.7,,
6,0.3,85,62,98,20099,0.7,,
7,0.3,84,63,97,23642,0.7,,
8,0.3,93,67,117,55297,0.7,,
9,0.3,108,75,132,31729,0.7,,
10,0.3,122,78,132,12556,0.7,,
11,0.4,129,84,150,59596,0.6,,
12,0.4,141,96,152,14431,0.6,,
13,0.4,158,116,156,9451,0.6,,
14,0.4,141,96,152,80885,0.6,,
15,0.4,158,116,156,99289,0.6,,
16,0.4,159,117,159,99243,0.6,,
17,0.4,191,129,159,87702,0.6,,
18,0.4,192,129,162,34025,0.6,,
19,0.4,193,169,168,10455,0.6,,
20,0.4,210,180,172,2697,0.6,,
21,0.4,224,192,173,59284,0.6,,
22,0.4,226,199,184,12660,0.6,,
23,0.5,230,200,192,85341,0.5,,
24,0.5,243,204,206,84768,0.5,,
25,0.5,249,214,215,50936,0.5,,
26,0.5,255,227,227,32391,0.5,,
27,0.5,261,239,227,81337,0.5,,
28,0.6,266,256,236,95521,0.4,,
29,0.6,269,263,247,13289,0.4,,
30,0.6,271,275,272,65146,0.4,,
31,0.6,272,295,258,86846,0.4,,
32,0.7,279,296,221,62890,0.3,,
33,0.7,293,301,328,52674,0.3,,
34,0.7,298,312,332,48803,0.3,,
35,0.8,346,383,388,46908,0.2,,
